Product Description,Vietnamese,Item #,Category,Unit Price,Packaging,Origin,Method,Weight (lbs),Pack,Pack Type,Case price
PERIWINKLE IN GARLIC BUTTER (2,OC HUONG XAO BO TOI,F0793,CLAMS & SHELLFISH,$4.00 ,24 X 14 OZ,VIETNAM,WILD,24,Box,Retail,96
PERIWINKLE IN TAMARIN SAUCE (2,OC HUONG XAO ME,F0792,CLAMS & SHELLFISH,$4.00 ,24 X 14 OZ,VIETNAM,WILD,24,Box,Retail,96
PERIWINKLE MEAT 40/60 (30),THIT OC HUONG,F0030,CLAMS & SHELLFISH,$2.60 ,30 X 14 OZ,CHINA,WILD,26.25,VP,Retail,78
PERIWINKLE SNAIL R/P (30),OC HUONG NGUYEN CON,F0786,CLAMS & SHELLFISH,$3.00 ,30 X 12 OZ,INDONESIA,WILD,22.5,VP,Retail,90
SHORT NECK CLAM 11/20 (20),NGHEU ,F0757,CLAMS & SHELLFISH,$2.50 ,10 X 2 LB,CHINA,FARMED,,VP,Retail,50
WHELK SNAIL 30/50 (22),OC BULOT,F0783,CLAMS & SHELLFISH,$3.80 ,1 X 22 LB,NORWAY,WILD,22,Bulk,Bulk,83.6
WHL APPLE SNAIL (30),OC BUOU NGUYEN CON,F0780,CLAMS & SHELLFISH,$3.50 ,20 X 1.5#,VIETNAM,WILD,30,Box,Retail,105
PM TILAPIA FILET BULK 3/5 (10),PHI LE CA RO PHI ,F1066,TILAPIA,$2.20 ,1 X 10 LB,CHINA,FARMED,10,IQF,Bulk,22
PM TILAPIA FILET BULK 5/7 (10),PHI LE CA RO PHI ,F1067,TILAPIA,$2.25 ,1 X 10 LB,CHINA,FARMED,10,IQF,Bulk,22.5
PM TILAPIA FILET IVP 3/5 (10),PHI LE CA RO PHI ,F1061,TILAPIA,$2.25 ,1 X 10 LB,CHINA,FARMED,10,VP,Bulk,22.5
PM TILAPIA FILET IVP 5/7 (10),PHI LE CA RO PHI ,F1062,TILAPIA,$2.35 ,1 X 10 LB,CHINA,FARMED,10,VP,Bulk,23.5
PM TILAPIA FILET IVP 7/9 (10),PHI LE CA RO PHI ,F1063,TILAPIA,$2.40 ,1 X 10 LB,CHINA,FARMED,10,VP,Bulk,24
RED TILAPIA TWN 600/800 (40),CA DIEU HONG,F0040,TILAPIA,$2.35 ,1 X 40 LB,TAIWAN,FARMED,40,IWP,Bulk,94
RED TILAPIA TWN 800/UP  (40),CA DIEU HONG,F0041,TILAPIA,$2.70 ,1 X 40 LB,TAIWAN,FARMED,40,IWP,Bulk,108
TILAPIA FILLET R/P (20),PHI LE CA RO PHI ,F1064,TILAPIA,$2.50 ,10 X 2 LB,CHINA,FARMED,20,Bag,Retail,50
TILAPIA G&S 550/750 (40),CA RO PHI VN,F1041,TILAPIA,$1.20 ,1 X 40 IWP,VIETNAM,FARMED,40,IWP,Bulk,48
TILAPIA G&S 550/750 (40),CA RO PHI VN,F1047,TILAPIA,$1.20 ,1 X 40 IWP,THAILAND,FARMED,40,IWP,Bulk,48
TILAPIA G&S 750/950 (40),CA RO PHI VN,F1042,TILAPIA,$1.20 ,1 X 40 IWP,VIETNAM,FARMED,40,IWP,Bulk,48
TILAPIA G&S 750/950 (40),CA RO PHI VN,F1048,TILAPIA,$1.20 ,1 X 40 IWP,THAILAND,FARMED,40,IWP,Bulk,48
TILAPIA G&S CHN 1200/1500 (40),CA RO PHI CHN,F10555,TILAPIA,$1.47 ,1 X 40 LB,CHINA,FARMED,40,IWP,Bulk,#N/A
TILAPIA G&S CHN 1500/2000 (40),CA RO PHI CHN,F10556,TILAPIA,$1.47 ,1 X 40 LB,CHINA,FARMED,40,IWP,Bulk,#N/A
TILAPIA G&S CHN 350/550 (10x3),CA RO PHI CHN,F1050,TILAPIA,$1.75 ,10 X 3 LB,CHINA,FARMED,30,Bag,Retail,52.5
TILAPIA G&S CHN 550/750 (40),CA RO PHI CHN,F1053,TILAPIA,$1.35 ,1 X 40 LB,CHINA,FARMED,40,IWP,Bulk,54
TILAPIA G&S CHN 750/950 (40),CA RO PHI CHN,F1054,TILAPIA,$1.35 ,1 X 40 LB,CHINA,FARMED,40,IWP,Bulk,54
TILAPIA G&S CHN 950/1200 (40),CA RO PHI CHN,F1055,TILAPIA,$1.47 ,1 X 40 LB,CHINA,FARMED,40,IWP,Bulk,58.8
TILAPIA G&S TWN 550/750 (40),CA RO PHI TWN,F1057,TILAPIA,$1.50 ,1 X 40 LB,TAIWAN,FARMED,40,IWP,Bulk,60
TILAPIA G&S TWN 750/950 (40),CA RO PHI TWN,F1058,TILAPIA,$1.60 ,1 X 40 LB,TAIWAN,FARMED,40,IWP,Bulk,64
TILAPIA WR TWN 600/800 (40),CA RO PHI TWN,F0047,TILAPIA,$1.50 ,1 X 40 LB,TAIWAN,FARMED,40,IWP,Bulk,60
TILAPIA WR TWN 800/1000 (40),CA RO PHI TWN,F0048,TILAPIA,$1.55 ,1 X 40 LB,TAIWAN,FARMED,40,IWP,Bulk,62
CHAN CATFISH FILLET 5/7 (15),PHI LE CA BONG LAU,F1142,SWAI / CATFISH,$3.65 ,1 X 15 LB,CHINA,FARMED,15,IQF,Bulk,54.75
CHAN CATFISH FILLET 7/9 (15),PHI LE CA BONG LAU,F1143,SWAI / CATFISH,$3.85 ,1 X 15 LB,CHINA,FARMED,15,IQF,Bulk,57.75
FB SWAI FILET LP 10/12 (22),PHI LE CA BASA ,F1828,SWAI / CATFISH,$1.00 ,2 X 11 LB,VIETNAM,FARMED,22,Block,Bulk,41.8
FB SWAI FILET LP 8/10 (22),PHI LE CA BASA ,F1827,SWAI / CATFISH,$1.90 ,2 X 11 LB,VIETNAM,FARMED,22,Block,Bulk,41.8
PG SWAI FILET IQF 5/7,PHI LE CA BASA ,F1922,SWAI / CATFISH,$1.90 ,1 X 15 LB,VIETNAM,FARMED,15,IQF,Bulk,28.5
PG SWAI FILET IQF 7/9,PHI LE CA BASA ,F1923,SWAI / CATFISH,$1.90 ,1 X 15 LB,VIETNAM,FARMED,15,IQF,Bulk,28.5
PG SWAI FILET IQF 9/11,PHI LE CA BASA ,F1924,SWAI / CATFISH,$1.90 ,1 X 15 LB,VIETNAM,FARMED,15,IQF,Bulk,28.5
SWAI FISH STEAK (15x2#),CA BASA CAT KHOANH,F0600,SWAI / CATFISH,$2.60 ,15 X 2 LB,VIETNAM,FARMED,30,Bag,Retail,78
SWAI HEAD-ON G&G (33),CA BASA NGUYEN CON,F0603,SWAI / CATFISH,$2.50 ,1 X 33 LB,VIETNAM,FARMED,33,IWP,Bulk,82.5
SWAI HEADLESS WHLCUT (30),CA BASA CAT KHUC NGUYEN CON,F0601,SWAI / CATFISH,$2.60 ,15 X 2 LB,VIETNAM,FARMED,30,Bag,Retail,78
PAC COD PORTIONS 4oz (10),CA TUYET CAT KHUC,F1151,SALMON & COD,$3.90 ,1 X 10 LB,USA,WILD,10,VP,Bulk,39
